experiment,threshold,samples,accuracy,balanced_accuracy,macro_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1,roc_auc,average_precision,brier_score,healthy_correct_tn,healthy_as_unhealthy_fp,unhealthy_as_healthy_fn,unhealthy_correct_tp,image_weight,sensor_weight
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.7000974658869397,0.7080239273927393,0.6904761904761905,0.5370370370370371,0.6041666666666666,0.7756335282651072,0.6174942389062572,0.18270085384713644,82,13,25,29,0.86,0.14
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.7000974658869397,0.7080239273927393,0.6904761904761905,0.5370370370370371,0.6041666666666666,0.7764132553606238,0.6137529141606777,0.18243909123041357,82,13,25,29,0.87,0.13
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.7000974658869397,0.7080239273927393,0.6904761904761905,0.5370370370370371,0.6041666666666666,0.7781676413255361,0.6144281213809979,0.18222991975846248,82,13,25,29,0.88,0.12
E3_Classical_Late_Fusion,0.5,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,0.7791423001949317,0.6130641094606455,0.1820733394312831,83,12,25,29,0.89,0.11
E3_Classical_Late_Fusion,0.5,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,0.7801169590643275,0.61290666733664,0.18196935024887553,83,12,25,29,0.9,0.1
E3_Classical_Late_Fusion,0.5,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,0.7826510721247563,0.6144414691623873,0.18191795221123971,83,12,25,29,0.91,0.09
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,0.7844054580896687,0.6140177357210014,0.1819191453183757,83,12,26,28,0.92,0.08
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,0.7869395711500975,0.6156032375988683,0.1819729295702834,83,12,26,28,0.93,0.07
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,0.7894736842105262,0.6166956926886913,0.18207930496696292,83,12,26,28,0.94,0.06
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,0.794541910331384,0.6220044709706717,0.1822382715084142,83,12,26,28,0.95,0.05
E3_Classical_Late_Fusion,0.5,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,0.7968810916179336,0.6217675065894495,0.1824498291946373,83,12,25,29,0.96,0.04
E3_Classical_Late_Fusion,0.5,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,0.7998050682261209,0.6237653050489105,0.1827139780256321,83,12,25,29,0.97,0.03
E3_Classical_Late_Fusion,0.5,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,0.8011695906432748,0.6241381551046288,0.18303071800139872,83,12,25,29,0.98,0.02
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,0.8025341130604289,0.6245856772411423,0.18340004912193708,83,12,26,28,0.99,0.01
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,0.8050682261208577,0.6173797973612528,0.18382197138724723,83,12,26,28,1.0,0.0
