comparison,iteration,metric,difference
Fusion_60_40_minus_Image_Only,33,unhealthy_f1,0.09595417114214111
Fusion_60_40_minus_Image_Only,34,accuracy,0.0064102564102563875
Fusion_60_40_minus_Image_Only,34,balanced_accuracy,0.0676470588235295
Fusion_60_40_minus_Image_Only,34,macro_f1,0.03208075067403282
Fusion_60_40_minus_Image_Only,34,unhealthy_recall,0.15000000000000002
Fusion_60_40_minus_Image_Only,34,unhealthy_f1,0.06198034769463334
Fusion_60_40_minus_Image_Only,35,accuracy,-0.05084745762711873
Fusion_60_40_minus_Image_Only,35,balanced_accuracy,-0.05337389380530977
Fusion_60_40_minus_Image_Only,35,macro_f1,-0.05619415150631635
Fusion_60_40_minus_Image_Only,35,unhealthy_recall,-0.0625
Fusion_60_40_minus_Image_Only,35,unhealthy_f1,-0.07359119223526
Fusion_60_40_minus_Image_Only,36,accuracy,-0.019480519480519543
Fusion_60_40_minus_Image_Only,36,balanced_accuracy,-0.011479591836734526
Fusion_60_40_minus_Image_Only,36,macro_f1,-0.01633882794880792
Fusion_60_40_minus_Image_Only,36,unhealthy_recall,0.017857142857142905
Fusion_60_40_minus_Image_Only,36,unhealthy_f1,-0.013428522862485082
Fusion_60_40_minus_Image_Only,37,accuracy,-0.07518796992481203
Fusion_60_40_minus_Image_Only,37,balanced_accuracy,-0.058139534883721034
Fusion_60_40_minus_Image_Only,37,macro_f1,-0.07065169739432631
Fusion_60_40_minus_Image_Only,37,unhealthy_recall,-0.11627906976744196
Fusion_60_40_minus_Image_Only,37,unhealthy_f1,-0.08895478131949586
Fusion_60_40_minus_Image_Only,38,accuracy,-0.013513513513513598
Fusion_60_40_minus_Image_Only,38,balanced_accuracy,-0.010044642857142794
Fusion_60_40_minus_Image_Only,38,macro_f1,-0.010962686443046099
Fusion_60_40_minus_Image_Only,38,unhealthy_recall,0.015625
Fusion_60_40_minus_Image_Only,38,unhealthy_f1,-0.006244424620874267
Fusion_60_40_minus_Image_Only,39,accuracy,-0.025316455696202556
Fusion_60_40_minus_Image_Only,39,balanced_accuracy,-0.01680672268907568
Fusion_60_40_minus_Image_Only,39,macro_f1,-0.025505440526657708
Fusion_60_40_minus_Image_Only,39,unhealthy_recall,0.0
Fusion_60_40_minus_Image_Only,39,unhealthy_f1,-0.03206669873336543
Fusion_60_40_minus_Image_Only,40,accuracy,-0.014925373134328401
Fusion_60_40_minus_Image_Only,40,balanced_accuracy,-0.013157894736842035
Fusion_60_40_minus_Image_Only,40,macro_f1,-0.014988559874424712
Fusion_60_40_minus_Image_Only,40,unhealthy_recall,-0.02631578947368418
Fusion_60_40_minus_Image_Only,40,unhealthy_f1,-0.0192220714608774
Fusion_60_40_minus_Image_Only,41,accuracy,-0.020979020979020935
Fusion_60_40_minus_Image_Only,41,balanced_accuracy,-0.018749999999999933
Fusion_60_40_minus_Image_Only,41,macro_f1,-0.019577246550075644
Fusion_60_40_minus_Image_Only,41,unhealthy_recall,0.0
Fusion_60_40_minus_Image_Only,41,unhealthy_f1,-0.017386264850767885
Fusion_60_40_minus_Image_Only,42,accuracy,-0.013698630136986356
Fusion_60_40_minus_Image_Only,42,balanced_accuracy,-0.015998494259363838
Fusion_60_40_minus_Image_Only,42,macro_f1,-0.017608181897244002
Fusion_60_40_minus_Image_Only,42,unhealthy_recall,-0.05797101449275366
Fusion_60_40_minus_Image_Only,42,unhealthy_f1,-0.03092436974789914
Fusion_60_40_minus_Image_Only,43,accuracy,-0.04132231404958686
Fusion_60_40_minus_Image_Only,43,balanced_accuracy,-0.04707792207792205
Fusion_60_40_minus_Image_Only,43,macro_f1,-0.047398129143548906
Fusion_60_40_minus_Image_Only,43,unhealthy_recall,-0.06818181818181823
Fusion_60_40_minus_Image_Only,43,unhealthy_f1,-0.06454388984509474
Fusion_60_40_minus_Image_Only,44,accuracy,-0.032258064516129004
Fusion_60_40_minus_Image_Only,44,balanced_accuracy,-0.032705296836118114
Fusion_60_40_minus_Image_Only,44,macro_f1,-0.034287866688900714
Fusion_60_40_minus_Image_Only,44,unhealthy_recall,-0.034482758620689724
Fusion_60_40_minus_Image_Only,44,unhealthy_f1,-0.04281345565749228
Fusion_60_40_minus_Image_Only,45,accuracy,-0.008333333333333415
Fusion_60_40_minus_Image_Only,45,balanced_accuracy,-0.011627906976744207
Fusion_60_40_minus_Image_Only,45,macro_f1,-0.009500066142277164
Fusion_60_40_minus_Image_Only,45,unhealthy_recall,0.0
Fusion_60_40_minus_Image_Only,45,unhealthy_f1,-0.005138746145940343
Fusion_60_40_minus_Image_Only,46,accuracy,-0.05042016806722682
Fusion_60_40_minus_Image_Only,46,balanced_accuracy,-0.045454545454545414
Fusion_60_40_minus_Image_Only,46,macro_f1,-0.046959124429779564
Fusion_60_40_minus_Image_Only,46,unhealthy_recall,0.0
