capture_id,timestamp,plant_observations,image_sensor_agreements,image_fusion_agreements,sensor_fusion_agreements,ph,tds_ppm,air_temp_c,humidity_pct,water_temp_c,camera_lux,image_sensor_disagreements
CAP_20260831_111504,2026-08-31 11:15:04,12,0,12,0,7.15,838.2,33.4,63.8,28.25,389.8809814453125,12
CAP_20260831_113004,2026-08-31 11:30:04,12,12,12,12,6.12,835.6,33.1,64.2,28.56,349.76080322265625,0
CAP_20260831_114503,2026-08-31 11:45:03,12,12,12,12,6.11,829.6,33.5,63.6,28.87,242.1793975830078,0
CAP_20260831_120003,2026-08-31 12:00:03,12,0,12,0,7.23,818.7,33.3,64.9,29.06,321.6078796386719,12
CAP_20260831_121504,2026-08-31 12:15:04,12,12,12,12,6.18,820.1,33.5,63.7,29.31,287.26361083984375,0
CAP_20260831_123003,2026-08-31 12:30:03,12,0,12,0,7.11,810.8,33.7,63.9,29.5,330.2696533203125,12
CAP_20260831_124503,2026-08-31 12:45:03,12,12,12,12,6.21,827.0,33.5,63.0,28.75,293.57476806640625,0
CAP_20260831_130003,2026-08-31 13:00:03,12,0,12,0,7.14,819.6,33.3,64.8,28.94,242.20008850097656,12
CAP_20260831_131503,2026-08-31 13:15:03,12,12,12,12,6.23,821.1,33.3,62.7,29.12,323.3837890625,0
CAP_20260831_133003,2026-08-31 13:30:03,12,0,12,0,7.23,808.7,33.2,64.8,29.37,269.9812927246094,12
CAP_20260831_134503,2026-08-31 13:45:03,12,0,12,0,7.24,803.6,33.4,65.4,29.56,269.8560791015625,12
CAP_20260831_140004,2026-08-31 14:00:04,12,0,12,0,7.16,800.4,33.4,64.4,29.75,309.1219787597656,12
CAP_20260831_141504,2026-08-31 14:15:04,12,0,12,0,7.24,796.0,33.4,64.3,29.87,296.9741516113281,12
CAP_20260831_143003,2026-08-31 14:30:03,12,0,12,0,7.12,802.5,33.5,63.8,29.31,303.98919677734375,12
CAP_20260831_144504,2026-08-31 14:45:04,12,0,12,0,7.2,810.0,33.4,65.4,28.81,350.3313903808594,12
CAP_20260831_150004,2026-08-31 15:00:04,12,1,12,1,7.11,806.3,33.5,64.1,29.06,1236.84716796875,11
CAP_20260831_151503,2026-08-31 15:15:03,12,12,12,12,6.12,807.8,33.1,65.1,29.31,903.2669677734375,0
CAP_20260831_153003,2026-08-31 15:30:03,12,12,12,12,6.2,806.6,33.1,66.0,29.44,255.01727294921875,0
CAP_20260831_154504,2026-08-31 15:45:04,12,12,12,12,6.11,803.6,32.8,66.2,29.62,157.13502502441406,0
CAP_20260831_160003,2026-08-31 16:00:03,12,12,12,12,6.18,800.7,32.8,67.9,29.75,204.71246337890625,0
CAP_20260831_161503,2026-08-31 16:15:03,12,0,12,0,6.19,799.9,32.7,66.0,29.81,171.735107421875,12
CAP_20260831_163004,2026-08-31 16:30:04,12,0,12,0,6.23,796.7,32.5,67.5,29.94,121.11809539794922,12
CAP_20260831_164504,2026-08-31 16:45:04,12,0,12,0,6.3,795.7,32.0,69.0,29.94,95.22115325927734,12
CAP_20260901_080006,2026-09-01 08:00:06,11,0,11,0,7.21,765.2,29.8,80.3,28.75,285.27301025390625,11
CAP_20260901_083004,2026-09-01 08:30:04,11,0,11,0,6.47,760.9,30.2,77.4,28.87,393.3157958984375,11
CAP_20260901_090003,2026-09-01 09:00:03,11,11,11,11,6.34,834.0,30.8,75.8,24.25,149.9852752685547,0
CAP_20260901_093003,2026-09-01 09:30:03,11,11,11,11,6.26,822.0,31.4,72.7,25.06,254.0426483154297,0
CAP_20260901_100004,2026-09-01 10:00:04,11,11,11,11,6.3,805.7,31.7,73.4,26.0,177.94686889648438,0
CAP_20260901_103004,2026-09-01 10:30:04,11,0,11,0,6.42,791.1,32.4,67.2,26.94,266.14080810546875,11
CAP_20260901_110004,2026-09-01 11:00:04,11,0,11,0,6.53,778.3,32.2,68.6,27.56,477.7181091308594,11
CAP_20260901_113003,2026-09-01 11:30:03,11,0,11,0,6.37,765.3,32.4,68.6,28.19,381.3871765136719,11
CAP_20260901_120003,2026-09-01 12:00:03,11,0,11,0,6.42,754.3,32.8,67.7,28.75,359.0642395019531,11
CAP_20260901_123004,2026-09-01 12:30:04,11,0,10,1,6.39,746.8,32.5,67.0,29.06,356.78863525390625,11
CAP_20260901_130632,2026-09-01 13:06:32,11,11,11,11,6.15,803.2,33.1,66.7,27.81,322.9630126953125,0
CAP_20260901_133004,2026-09-01 13:30:04,11,11,11,11,6.08,863.4,33.0,65.0,24.37,396.7994689941406,0
CAP_20260901_140003,2026-09-01 14:00:03,11,10,10,11,6.19,863.9,32.7,67.2,24.31,277.8695373535156,1
CAP_20260901_143003,2026-09-01 14:30:03,11,11,11,11,6.25,835.6,32.8,66.7,25.75,232.66725158691406,0
